pathogen,k,model_type,f1,f1_std,n_pos,n_neg
Spongospora subterranea,3,KNN,0.6156,0.0342,103,103
Spongospora subterranea,3,RandomForest,0.5017,0.0846,103,103
Spongospora subterranea,3,MLP,0.5732,0.0409,103,103
Spongospora subterranea,4,GaussianNB,0.6467,0.0494,103,103
Spongospora subterranea,4,BernoulliNB,0.5434,0.0974,103,103
Spongospora subterranea,4,SVC_RBF,0.6011,0.0306,103,103
Spongospora subterranea,4,NuSVC,0.562,0.0383,103,103
Spongospora subterranea,4,LogisticRegression,0.5659,0.0147,103,103
Spongospora subterranea,4,KNN,0.6059,0.0336,103,103
Spongospora subterranea,4,RandomForest,0.5355,0.08,103,103
Spongospora subterranea,4,MLP,0.5224,0.0652,103,103
Spongospora subterranea,5,GaussianNB,0.5965,0.074,103,103
Spongospora subterranea,5,BernoulliNB,0.5622,0.0396,103,103
Spongospora subterranea,5,SVC_RBF,0.5285,0.0363,103,103
Spongospora subterranea,5,NuSVC,0.562,0.041,103,103
Spongospora subterranea,5,LogisticRegression,0.498,0.053,103,103
Spongospora subterranea,5,KNN,0.6076,0.0695,103,103
Spongospora subterranea,5,RandomForest,0.555,0.0765,103,103
Spongospora subterranea,5,MLP,0.5446,0.0185,103,103
Streptomyces scabies,2,GaussianNB,0.6497,0.0324,480,480
Streptomyces scabies,2,BernoulliNB,0.5605,0.0289,480,480
Streptomyces scabies,2,SVC_RBF,0.6485,0.0172,480,480
Streptomyces scabies,2,NuSVC,0.6383,0.0212,480,480
Streptomyces scabies,2,LogisticRegression,0.5552,0.0583,480,480
Streptomyces scabies,2,KNN,0.6312,0.0155,480,480
Streptomyces scabies,2,RandomForest,0.5942,0.046,480,480
Streptomyces scabies,2,MLP,0.5892,0.0391,480,480
Streptomyces scabies,3,GaussianNB,0.6361,0.0324,480,480
Streptomyces scabies,3,BernoulliNB,0.5242,0.0265,480,480
Streptomyces scabies,3,SVC_RBF,0.6342,0.0095,480,480
Streptomyces scabies,3,NuSVC,0.6392,0.0304,480,480
Streptomyces scabies,3,LogisticRegression,0.5763,0.0154,480,480
Streptomyces scabies,3,KNN,0.6424,0.0168,480,480
Streptomyces scabies,3,RandomForest,0.5761,0.0554,480,480
Streptomyces scabies,3,MLP,0.6037,0.0477,480,480
Streptomyces scabies,4,GaussianNB,0.6424,0.0342,480,480
Streptomyces scabies,4,BernoulliNB,0.5694,0.044,480,480
Streptomyces scabies,4,SVC_RBF,0.6303,0.0265,480,480
Streptomyces scabies,4,NuSVC,0.626,0.0254,480,480
Streptomyces scabies,4,LogisticRegression,0.5816,0.042,480,480
Streptomyces scabies,4,KNN,0.6564,0.028,480,480
Streptomyces scabies,4,RandomForest,0.6232,0.0316,480,480
Streptomyces scabies,4,MLP,0.5906,0.0283,480,480
Streptomyces scabies,5,GaussianNB,0.6718,0.0194,480,480
Streptomyces scabies,5,BernoulliNB,0.568,0.0342,480,480
Streptomyces scabies,5,SVC_RBF,0.6587,0.0107,480,480
Streptomyces scabies,5,NuSVC,0.6395,0.012,480,480
Streptomyces scabies,5,LogisticRegression,0.5929,0.0241,480,480
Streptomyces scabies,5,KNN,0.6652,0.0314,480,480
Streptomyces scabies,5,RandomForest,0.5907,0.0099,480,480
Streptomyces scabies,5,MLP,0.6164,0.0302,480,480
Synchytrium endobioticum,2,GaussianNB,0.6884,0.0335,306,306
Synchytrium endobioticum,2,BernoulliNB,0.6003,0.0285,306,306
Synchytrium endobioticum,2,SVC_RBF,0.676,0.0537,306,306
Synchytrium endobioticum,2,NuSVC,0.6431,0.0746,306,306
Synchytrium endobioticum,2,LogisticRegression,0.5941,0.0386,306,306
Synchytrium endobioticum,2,KNN,0.6318,0.0242,306,306
Synchytrium endobioticum,2,RandomForest,0.6292,0.0662,306,306
Synchytrium endobioticum,2,MLP,0.5929,0.0587,306,306
Synchytrium endobioticum,3,GaussianNB,0.6772,0.0336,306,306
Synchytrium endobioticum,3,BernoulliNB,0.5958,0.0497,306,306
Synchytrium endobioticum,3,SVC_RBF,0.6602,0.0481,306,306
Synchytrium endobioticum,3,NuSVC,0.6426,0.0325,306,306
Synchytrium endobioticum,3,LogisticRegression,0.6318,0.0215,306,306
Synchytrium endobioticum,3,KNN,0.5931,0.0392,306,306
Synchytrium endobioticum,3,RandomForest,0.6164,0.054,306,306
Synchytrium endobioticum,3,MLP,0.5954,0.009,306,306
Synchytrium endobioticum,4,GaussianNB,0.6653,0.0392,306,306
Synchytrium endobioticum,4,BernoulliNB,0.5954,0.046,306,306
Synchytrium endobioticum,4,SVC_RBF,0.6734,0.0646,306,306
Synchytrium endobioticum,4,NuSVC,0.6234,0.0461,306,306
Synchytrium endobioticum,4,LogisticRegression,0.6162,0.0448,306,306
Synchytrium endobioticum,4,KNN,0.5719,0.0911,306,306
Synchytrium endobioticum,4,RandomForest,0.6265,0.0353,306,306
Synchytrium endobioticum,4,MLP,0.6107,0.0277,306,306
Synchytrium endobioticum,5,GaussianNB,0.6367,0.0401,306,306
Synchytrium endobioticum,5,BernoulliNB,0.5687,0.0346,306,306
Synchytrium endobioticum,5,SVC_RBF,0.6396,0.0665,306,306
Synchytrium endobioticum,5,NuSVC,0.6086,0.0702,306,306
Synchytrium endobioticum,5,LogisticRegression,0.6152,0.0482,306,306
Synchytrium endobioticum,5,KNN,0.5803,0.0519,306,306
Synchytrium endobioticum,5,RandomForest,0.6162,0.0944,306,306
Synchytrium endobioticum,5,MLP,0.6078,0.0491,306,306
